publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Biology of the Neonate ","0006-3126","1421-9727",1998-01-01,73,1,2006-01-01,90,4,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9727",,"","","fulltext","Title change to Neonatology ","S. Karger AG"
"Blood Purification","0253-5068","1421-9735",1998-01-01,16,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9735",,"","","fulltext","","S. Karger AG"
"Brain, Behavior and Evolution","0006-8977","1421-9743",1998-01-01,51,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9743",,"","","fulltext","","S. Karger AG"
"Breast Care","1661-3791","1661-3805",2006-01-01,1,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-3805",,"","","fulltext","","S. Karger AG"
"Cardiology","0008-6312","1421-9751",1998-01-01,89,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9751",,"","","fulltext","","S. Karger AG"
"Cardiorenal Medicine","1664-3828","1664-5502",2011-01-01,1,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1664-5502",,"","","fulltext","New in 2011","S. Karger AG"
"Caries Research","0008-6568","1421-976X",1998-01-01,32,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-976X",,"","","fulltext","","S. Karger AG"
"Cells Tissues Organs","1422-6405","1422-6421",1998-01-01,161,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1422-6421",,"","","fulltext","","S. Karger AG"
"Cellular Physiology and Biochemistry","1015-8987","1421-9778",1998-01-01,8,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9778",,"","","fulltext","Open Access as of 2013","S. Karger AG"
"Cerebrovascular Diseases","1015-9770","1421-9786",1998-01-01,8,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9786",,"","","fulltext","","S. Karger AG"
"Cerebrovascular Diseases EXTRA","","1664-5456",2011-01-01,1,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1664-5456",,"","","fulltext","New Open Access Journal in 2011","S. Karger AG"
"Chemotherapy","0009-3157","1421-9794",1998-01-01,44,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9794",,"","","fulltext","","S. Karger AG"
"Chirurgische Gastroenterologie  ","0177-9990","1421-9808",1998-01-01,14,1,2008-01-01,24,4,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9808",,"","","fulltext","Title change to Viszeralmedizin / Visceral Medicine ","S. Karger AG"
"Community Genetics  ","1422-2795","1422-2833",1998-01-01,1,1,2008-01-01,11,6,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1422-2833",,"","","fulltext","Title change to Public Health Genomics ","S. Karger AG"
"ComPlexUs ","1424-8492","1424-8506",2003-01-01,1,1,2006-01-01,3,4,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-8506",,"","","fulltext","Ceased publication ","S. Karger AG"
"Current Urology  ","1661-7649","1661-7657",2007-01-01,1,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-7657",,"","","fulltext","","S. Karger AG"
"Cytogenetics and Cell Genetics ","0301-0171","1421-9816",1998-01-01,80,1,2001-01-01,95,4,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9816",,"","","fulltext","Title change to Cytogenetic and Genome Research","S. Karger AG"
"Cytogenetic and Genome Research","1424-8581","1424-859X",2002-01-01,96,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-859X",,"","","fulltext","","S. Karger AG"
"Dementia and Geriatric Cognitive Disorders","1420-8008","1421-9824",1998-01-01,9,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9824",,"","","fulltext","","S. Karger AG"
"Dementia and Geriatric Cognitive Disorders EXTRA","","1664-5464",2011-01-01,1,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1664-5464",,"","","fulltext","New Open Access Journal in 2011","S. Karger AG"
"Dermatology","1018-8665","1421-9832",1998-01-01,196,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9832",,"","","fulltext","","S. Karger AG"
"Dermatology and Psychosomatics","1422-9196","1424-0564",2000-01-01,1,1,2004-01-01,5,4,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-0564",,"","","fulltext","","S. Karger AG"
"Developmental Neuroscience","0378-5866","1421-9859",1998-01-01,20,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9859",,"","","fulltext","","S. Karger AG"
"Digestion","0012-2823","1421-9867",1998-01-01,59,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9867",,"","","fulltext","","S. Karger AG"
"Digestive Diseases","0257-2753","1421-9875",1998-01-01,16,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9875",,"","","fulltext","","S. Karger AG"
"Digestive Surgery","0253-4886","1421-9883",1998-01-01,15,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9883",,"","","fulltext","","S. Karger AG"
"European Addiction Research","1022-6877","1421-9891",1998-01-01,4,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9891",,"","","fulltext","","S. Karger AG"
"European Neurology","0014-3022","1421-9913",1998-01-01,39,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9913",,"","","fulltext","","S. Karger AG"
"European Surgical Research","0014-312X","1421-9921",1998-01-01,30,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9921",,"","","fulltext","","S. Karger AG"
"European Thyroid Journal","2235-0640","2235-0802",2012-01-01,1,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=2235-0802",,"","","fulltext","New in 2012","S. Karger AG"
"European Urology","0302-2838","1421-993X",1998-01-01,33,1,2001-01-01,40,6,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-993X",,"","","fulltext","Change of publisher","S. Karger AG"
"Exogenous Dermatology","1424-4616","1424-4624",2002-01-01,1,1,2004-01-01,3,6,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-4624",,"","","fulltext","Ceased publication ","S. Karger AG"
"Experimental and Clinical Immunogenetics ","0254-9670","1421-9948",1998-01-01,15,1,2001-01-01,18,4,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9948",,"","","fulltext","Change of publisher","S. Karger AG"
"Experimental Nephrology ","1018-7782","1421-9956",1998-01-01,6,1,2002-01-01,10,6,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9956",,"","","fulltext","Merged in 2003 to Nephron Experimental Nephrology","S. Karger AG"
"Fetal Diagnosis and Therapy","1015-3837","1421-9964",1998-01-01,13,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9964",,"","","fulltext","","S. Karger AG"
"Folia Phoniatrica et Logopaedica","1021-7762","1421-9972",1998-01-01,50,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9972",,"","","fulltext","","S. Karger AG"
"Folia Primatologica","0015-5713","1421-9980",1998-01-01,69,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1421-9980",,"","","fulltext","","S. Karger AG"
"Forschende Komplementärmedizin und Klassische Naturheilkunde / Research in Complementary and Classical Natural Medicine","1021-7096","1421-9999",1998-01-01,5,1,2005-01-01,12,6,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-4127",,"","","fulltext","Title change to Forschende Komplementärmedizin/Complementary Medicine","S. Karger AG"
"Forschende Komplementärmedizin/Research in Complementary Medicine","1661-4119","1661-4127",2006-01-01,13,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1661-4127",,"","","fulltext","","S. Karger AG"
"Frauenheilkunde aktuell ","1021-5697","",2000-01-01,9,4,2002-01-01,11,4,"none",,"","","fulltext","Change of publisher","S. Karger AG"
"Gerontology","0304-324X","1423-0003",1998-01-01,44,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0003",,"","","fulltext","","S. Karger AG"
"Gynäkologisch-geburtshilfliche Rundschau ","1018-8843","1423-0011",1998-01-01,38,1,2009-01-01,49,4,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0011",,"","","fulltext","Ceased publication ","S. Karger AG"
"Gynecologic and Obstetric Investigation","0378-7346","1423-002X",1998-01-01,45,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-002X",,"","","fulltext","","S. Karger AG"
"Haemostasis","0301-0147","1423-0038",1998-01-01,28,1,2001-01-01,31,03-Jun,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0038",,"","","fulltext","Title change to Pathophysiology of Haemostasis and Thrombosis","S. Karger AG"
"Heart Drug","1422-9528","1424-0556",2001-01-01,1,1,2005-01-01,5,4,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1424-0556",,"","","fulltext","Merged in 2006 to Cardiology","S. Karger AG"
"Hormone Research ","0301-0163","1423-0046",1998-01-01,49,1,2009-01-01,72,6,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0046",,"","","fulltext","Title change to Hormone Research in Paediatrics","S. Karger AG"
"Hormone Research in Paediatrics ","1663-2818","1663-2826",2010-01-01,73,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1663-2826",,"","","fulltext","formerly Hormone Research","S. Karger AG"
"Human Development","0018-716X","1423-0054",1998-01-01,41,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0054",,"","","fulltext","","S. Karger AG"
"Human Heredity","0001-5652","1423-0062",1998-01-01,48,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0062",,"","","fulltext","","S. Karger AG"
"Infusion Therapy and Transfusion Medicine / Infusionstherapie und Transfusionsmedizin","1424-5485","1424-5493",1998-01-01,25,1,2002-01-01,29,6,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1660-3818",,"","","fulltext","Title change to Transfusion Medicine and Hemotherapy","S. Karger AG"
"International Archives of Allergy and Immunology","1018-2438","1423-0097",1998-01-01,115,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0097",,"","","fulltext","","S. Karger AG"
"Interventional Neurology","1664-9737","1664-5545",2012-01-01,1,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1664-5545",,"","","fulltext","New in 2012","S. Karger AG"
"Intervirology","0300-5526","1423-0100",1998-01-01,41,1,,,,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0100",,"","","fulltext","","S. Karger AG"
"Invasion and Metastasis ","0251-1789","1423-0119",1998-01-01,18,1,1999-01-01,18,05-Jun,"http://content.karger.com/ProdukteDB/produkte.asp?issn=1423-0119",,"","","fulltext","Ceased publication ","S. Karger AG"
