publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Acta Crystallographica Section D","0907-4449","1399-0047",1997-01-01,53,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-0047",,"10.1111/(ISSN)1399-0047","","","",""
"Acta Crystallographica Section E ","","1600-5368",2001-01-01,57,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-5368",,"10.1111/(ISSN)1600-5368","","","",""
"Acta Crystallographica Section F ","","1744-3091",2005-01-01,61,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-3091",,"10.1111/(ISSN)1744-3091","","","",""
"Acta Geologica Sinica ","1000-9515","1755-6724",1997-01-01,10,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6724",,"10.1111/(ISSN)1755-6724","","","",""
"Acta Neurologica Scandinavica","0001-6314","1600-0404",1997-01-01,95,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0404",,"10.1111/(ISSN)1600-0404","","","",""
"Acta Neuropsychiatrica ","0924-2708","1601-5215",2002-01-01,14,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1601-5215",,"10.1111/(ISSN)1601-5215","","","",""
"Acta Obstetricia et Gynecologica Scandinavica","0001-6349","1600-0412",1997-01-01,76,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0412",,"10.1111/(ISSN)1600-0412","","","",""
"Acta Ophthalmologica","1755-375X","1755-3768",1997-01-01,75,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-3768",,"10.1111/(ISSN)1755-3768","","","free back issues after 2 years back to Jan 1st 1997",""
"Acta Paediatrica","0803-5253","1651-2227",1997-01-01,86,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1651-2227",,"10.1111/(ISSN)1651-2227","","","",""
"Acta Physiologica","1748-1708","1748-1716",1997-01-01,159,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-1716",,"10.1111/(ISSN)1748-1716","","","",""
"Acta Psychiatrica Scandinavica","0001-690X","1600-0447",1997-01-01,95,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0447",,"10.1111/(ISSN)1600-0447","","","",""
"Acta Zoologica","0001-7272","1463-6395",1997-01-01,78,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1463-6395",,"10.1111/(ISSN)1463-6395","","","",""
"Addiction","0965-2140","1360-0443",1997-01-01,92,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1360-0443",,"10.1111/(ISSN)1360-0443","","","",""
"Addiction Biology","1355-6215","1369-1600",1997-01-01,2,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1369-1600",,"10.1111/(ISSN)1369-1600","","","",""
"Adultspan Journal","1524-6817","2161-0029",1997-01-01,9,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2161-0029/",,"10.1002/(ISSN)2161-0029","","","",""
"Advanced Energy Materials","1614-6832","1614-6840",2011-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1614-6840",,"10.1002/(ISSN)1614-6840","","","",""
"Advanced Functional Materials","1616-301X","1616-3028",1997-01-01,7,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1616-3028",,"10.1002/(ISSN)1616-3028","","","",""
"Advanced Healthcare Materials","2192-2640","2192-2659",2012-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2192-2659",,"10.1002/(ISSN)2192-2659","","","",""
"Advanced Materials","0935-9648","1521-4095",1998-01-01,10,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4095",,"10.1002/(ISSN)1521-4095","","","",""
"Advances in Polymer Technology","0730-6679","1098-2329",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2329",,"10.1002/(ISSN)1098-2329","","","",""
"Africa Research Bulletin: Economic, Financial and Technical Series","0001-9852","1467-6346",1997-01-01,34,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-6346",,"10.1111/(ISSN)1467-6346","","","",""
"Africa Research Bulletin: Political, Social and Cultural Series","0001-9844","1467-825X",1997-01-01,34,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-825X",,"10.1111/(ISSN)1467-825X","","","",""
"African Development Review","1017-6772","1467-8268",1997-01-01,9,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8268",,"10.1111/(ISSN)1467-8268","","","",""
"African Journal of Ecology","0141-6707","1365-2028",1997-01-01,35,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2028",,"10.1111/(ISSN)1365-2028","","","",""
"Aggressive Behavior","0096-140X","1098-2337",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2337",,"10.1002/(ISSN)1098-2337","","","",""
"Aging Cell","1474-9718","1474-9726",2002-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1474-9726",,"10.1111/(ISSN)1474-9726","","","free back issues after 2 years back to 2002",""
"Agribusiness : An International Journal","0742-4477","1520-6297",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6297",,"10.1002/(ISSN)1520-6297","","","",""
"Agricultural and Forest Entomology","1461-9555","1461-9563",1999-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1461-9563",,"10.1111/(ISSN)1461-9563","","","",""
"Agricultural Economics","0169-5150","1574-0862",2000-01-01,22,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1574-0862",,"10.1111/(ISSN)1574-0862","","","",""
"Aiche Journal","0001-1541","1547-5905",1998-01-01,44,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1547-5905",,"10.1002/(ISSN)1547-5905","","","",""
"Alcoholism","0145-6008","1530-0277",1997-01-01,21,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-0277",,"10.1111/(ISSN)1530-0277","","","",""
"Alcoholism and Drug Abuse Weekly","1042-1394","1556-7591",2005-01-01,17,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1556-7591",,"10.1002/(ISSN)1556-7591","","","",""
"Alimentary Pharmacology and therapeutics","0269-2813","1365-2036",1997-01-01,11,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2036",,"10.1111/(ISSN)1365-2036","","","free back issues after 18 months back to Jan 1st 1997",""
"Allergy","0105-4538","1398-9995",1997-01-01,52,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1398-9995",,"10.1111/(ISSN)1398-9995","","","free back issues after 2 years back to Jan 1st 1997",""
"Alternatives to the High Cost of Litigation","1549-4373","1549-4381",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1549-4381",,"10.1002/(ISSN)1549-4381","","","",""
"American Anthropologist","0002-7294","1548-1433",1997-01-01,99,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1433",,"10.1111/(ISSN)1548-1433","","","",""
"American Business Law Journal","0002-7766","1744-1714",1997-01-01,34,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-1714",,"10.1111/(ISSN)1744-1714","","","",""
"American ethnologist","0094-0496","1548-1425",1997-01-01,24,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1425",,"10.1111/(ISSN)1548-1425","","","",""
"American Journal of Economics and Sociology","0002-9246","1536-7150",1997-01-01,56,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1536-7150",,"10.1111/(ISSN)1536-7150","","","",""
"American Journal of Hematology","0361-8609","1096-8652",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8652",,"10.1002/(ISSN)1096-8652","","","free back issues after 1 year back to 1998",""
"American Journal of Human Biology","1042-0533","1520-6300",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6300",,"10.1002/(ISSN)1520-6300","","","",""
"American Journal of industrial Medicine","0271-3586","1097-0274",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1097-0274",,"10.1002/(ISSN)1097-0274","","","",""
"American Journal of Medical Genetics: Part C","1552-4868","",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1552-4876",,"10.1002/(ISSN)1552-4876","","","",""
"American Journal of Orthopsychiatry","0002-9432","1939-0025",1997-01-01,67,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1939-0025",,"10.1111/(ISSN)1939-0025","","","",""
"American Journal of Physical Anthropology","0002-9483","1096-8644",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1096-8644",,"10.1002/(ISSN)1096-8644","","","",""
"American Journal of Political Science","0092-5853","1540-5907",2003-01-01,47,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1540-5907",,"10.1111/(ISSN)1540-5907","","","",""
"American Journal of Primatology","0275-2565","1098-2345",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2345",,"10.1002/(ISSN)1098-2345","","","",""
"American Journal of Reproductive Immunology","1046-7408","1600-0897",2000-01-01,43,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0897",,"10.1111/(ISSN)1600-0897","","","",""
"American Journal of Transplantation","1600-6135","1600-6143",2001-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-6143",,"10.1111/(ISSN)1600-6143","","","free back issues after 1 year back to 2001",""
"Anaesthesia","0003-2409","1365-2044",1997-01-01,52,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2044",,"10.1111/(ISSN)1365-2044","","","",""
"Analyses of Social Issues and Public Policy","1529-7489","1530-2415",2001-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1530-2415",,"10.1111/(ISSN)1530-2415","","","",""
"Analytic Philosophy","2153-9596","2153-960X",1997-01-01,38,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-0149",,"","","","",""
"Anatomia, Histologia, Embryologia","0340-2096","1439-0264",1997-01-01,26,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0264",,"10.1111/(ISSN)1439-0264","","","",""
"andrologia ","0303-4569","1439-0272",1997-01-01,29,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1439-0272",,"10.1111/(ISSN)1439-0272","","","",""
"Angewandte Chemie","0044-8249","1521-3757",1998-01-01,110,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3757",,"10.1002/(ISSN)1521-3757","","","",""
"Angewandte Chemie International Edition","1433-7851","1521-3773",1998-01-01,37,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3773",,"10.1002/(ISSN)1521-3773","","","",""
"Animal Conservation","1367-9430","1469-1795",1998-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1795",,"10.1111/(ISSN)1469-1795","","","",""
"Animal Genetics","0268-9146","1365-2052",1997-01-01,28,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2052",,"10.1111/(ISSN)1365-2052","","","",""
"Animal Science Journal","1344-3941","1740-0929",2002-01-01,73,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1740-0929",,"10.1111/(ISSN)1740-0929","","","",""
"Annalen Der Physik","0003-3804","1521-3889",1998-01-01,7,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3889",,"10.1002/(ISSN)1521-3889","","","",""
"Annals of Anthropological Practice","2153-957X","2153-9588",1997-01-01,17,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-4797",,"","","","",""
"Annals of Applied Biology","0003-4746","1744-7348",1997-01-01,130,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7348",,"10.1111/(ISSN)1744-7348","","","",""
"Annals of Human Genetics","0003-4800","1469-1809",1997-01-01,61,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1469-1809",,"10.1111/(ISSN)1469-1809","","","free back issues after 2 years back to Jan 1st 1997",""
"Annals of Neurology","0364-5134","1531-8249",1999-01-01,45,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1531-8249",,"10.1002/(ISSN)1531-8249","","","",""
"Annals of Noninvasive Electrocardiology","1082-720X","1542-474X",1997-01-01,2,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1542-474X",,"10.1111/(ISSN)1542-474X","","","",""
"Annals of Public and Cooperative Economics","1370-4788","1467-8292",1997-01-01,68,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8292",,"10.1111/(ISSN)1467-8292","","","",""
"Annals of the New York Academy of Sciences","0077-8923","1749-6632",1997-01-01,807,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1749-6632",,"10.1111/(ISSN)1749-6632","","","",""
"Annual Bulletin of Historical Literature","0066-3832","1467-8314",1997-01-01,81,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8314",,"10.1111/(ISSN)1467-8314","","","",""
"Annual Review of information Science and Technology ","","1550-8382",2002-01-01,36,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1550-8382",,"10.1002/(ISSN)1550-8382","","","",""
"Anthropology and Education Quarterly","0161-7761","1548-1492",1997-01-01,28,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1492",,"10.1111/(ISSN)1548-1492","","","",""
"Anthropology and Humanism","1559-9167","1548-1409",1997-01-01,22,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1409",,"10.1111/(ISSN)1548-1409","","","",""
"Anthropology of Consciousness","1053-4202","1556-3537",1997-01-01,8,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1556-3537",,"10.1111/(ISSN)1556-3537","","","",""
"Anthropology of Work Review","0883-024X","1548-1417",1997-01-01,18,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1548-1417",,"10.1111/(ISSN)1548-1417","","","",""
"Anthropology today","0268-540X","1467-8322",2000-01-01,16,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8322",,"10.1111/(ISSN)1467-8322","","","",""
"Antipode","0066-4812","1467-8330",1997-01-01,29,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8330",,"10.1111/(ISSN)1467-8330","","","",""
"Anz Journal of Surgery","1445-1433","1445-2197",1997-01-01,67,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1445-2197",,"10.1111/(ISSN)1445-2197","","","",""
"Apmis","0903-4641","1600-0463",1997-01-01,105,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0463",,"10.1111/(ISSN)1600-0463","","","",""
"Applied Cognitive Psychology","0888-4080","1099-0720",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0720",,"10.1002/(ISSN)1099-0720","","","",""
"Applied Organometallic Chemistry","0268-2605","1099-0739",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0739",,"10.1002/(ISSN)1099-0739","","","",""
"Applied Psychology","0269-994X","1464-0597",1997-01-01,46,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1464-0597",,"10.1111/(ISSN)1464-0597","","","",""
"Applied Psychology: Health and Well-Being","1758-0846","1758-0854",2009-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1758-0854",,"10.1111/(ISSN)1758-0854","","","",""
"Applied Stochastic Models in Business and industry","1524-1904","1526-4025",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1526-4025",,"10.1002/(ISSN)1526-4025","","","",""
"Applied Vegetation Science","1402-2001","1654-109X",1998-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1654-109X",,"10.1111/(ISSN)1654-109X","","","","International Association of Vegetation Science"
"Aquaculture Nutrition","1353-5773","1365-2095",1997-01-01,3,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2095",,"10.1111/(ISSN)1365-2095","","","",""
"Aquaculture Research","1355-557X","1365-2109",1997-01-01,28,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2109",,"10.1111/(ISSN)1365-2109","","","",""
"Aquatic Conservation: Marine and Freshwater Ecosystems","1052-7613","1099-0755",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0755",,"10.1002/(ISSN)1099-0755","","","",""
"Arabian Archaeology and Epigraphy","0905-7196","1600-0471",1997-01-01,8,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1600-0471",,"10.1111/(ISSN)1600-0471","","","",""
"Archaeological Prospection","1075-2196","1099-0763",1997-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1099-0763",,"10.1002/(ISSN)1099-0763","","","",""
"Archaeometry","0003-813X","1475-4754",1997-01-01,39,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-4754",,"10.1111/(ISSN)1475-4754","","","",""
"Archeological Papers of the American Anthropological Association","1551-823X","1551-8248",1997-01-01,7,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1551-8248",,"10.1111/(ISSN)1551-8248","","","",""
"Architectural Design","0003-8504","1554-2769",2005-01-01,75,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1554-2769",,"10.1002/(ISSN)1554-2769","","","",""
"Archiv Der Pharmazie","0365-6233","1521-4184",1998-01-01,331,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-4184",,"10.1002/(ISSN)1521-4184","","","",""
"Archives of Drug Information","","1753-5174",2008-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-5174",,"10.1111/(ISSN)1753-5174","","","",""
"Archives of insect Biochemistry and Physiology  ","0739-4462","1520-6327",1997-01-01,34,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1520-6327",,"10.1002/(ISSN)1520-6327","","","",""
"Area","0004-0894","1475-4762",1997-01-01,29,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1475-4762",,"10.1111/(ISSN)1475-4762","","","",""
"Aristotelian Society Supplementary Volume","0309-7013","1467-8349",1997-01-01,71,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8349",,"10.1111/(ISSN)1467-8349","","","",""
"Art History","0141-6790","1467-8365",1997-01-01,20,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8365",,"10.1111/(ISSN)1467-8365","","","",""
"Arthritis and Rheumatism","0004-3591","1529-0131",1999-01-01,42,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1529-0131",,"10.1002/(ISSN)1529-0131","","","",""
"Arthritis Care and Research","2151-464X","",2010-01-01,,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)2151-4658",,"10.1002/(ISSN)2151-4658","","","",""
"Artificial Organs","0160-564X","1525-1594",1997-01-01,21,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1525-1594",,"10.1111/(ISSN)1525-1594","","","",""
"Ashe Higher Education Report","1551-6970","1554-6306",2001-01-01,28,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1554-6306",,"10.1002/(ISSN)1554-6306","","","",""
"Asia Pacific Journal of Human Resources","1038-4111","1744-7941",1997-01-01,49,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-7941",,"10.1111/(ISSN)1744-7941","","","","SAGE"
"Asia Pacific Viewpoint","1360-7456","1467-8373",1997-01-01,38,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8373",,"10.1111/(ISSN)1467-8373","","","",""
"Asian Economic Journal","1351-3958","1467-8381",1997-01-01,11,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8381",,"10.1111/(ISSN)1467-8381","","","",""
"Asian Economic Policy Review","1832-8105","1748-3131",2006-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1748-3131",,"10.1111/(ISSN)1748-3131","","","",""
"Asian Journal of Social Psychology","1367-2223","1467-839X",1998-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-839X",,"10.1111/(ISSN)1467-839X","","","",""
"Asian Politics and Policy","1943-0779","1943-0787",2009-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1943-0787",,"10.1111/(ISSN)1943-0787","","","",""
"Asian Social Work and Policy Review","1753-1403","1753-1411",2007-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-1411",,"10.1111/(ISSN)1753-1411","","","",""
"Asian-Pacific Economic Literature","0818-9935","1467-8411",1997-01-01,11,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8411",,"10.1111/(ISSN)1467-8411","","","",""
"Asia-Pacific Journal of Chemical Engineering","1932-2135","1932-2143",2006-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1932-2143",,"10.1002/(ISSN)1932-2143","","","",""
"Asia-Pacific Journal of Clinical Oncology","1743-7555","1743-7563",2005-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1743-7563",,"10.1111/(ISSN)1743-7563","","","",""
"Assessment Update","1041-6099","1536-0725",1997-01-01,9,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1536-0725",,"10.1002/(ISSN)1536-0725","","","",""
"Astronomische Nachrichten","0004-6337","1521-3994",1999-01-01,320,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1521-3994",,"10.1002/(ISSN)1521-3994","","","",""
"Astronomy and Geophysics","1366-8781","1468-4004",2000-01-01,41,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1468-4004",,"10.1111/(ISSN)1468-4004","","","",""
"Atmospheric Science Letters","","1530-261X",2000-01-01,1,,,,,"http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1530-261X",,"10.1002/(ISSN)1530-261X","","","",""
"Austral Ecology","1442-9985","1442-9993",1997-01-01,22,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1442-9993",,"10.1111/(ISSN)1442-9993","","","",""
"Australasian Journal of Dermatology","0004-8380","1440-0960",1997-01-01,38,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-0960",,"10.1111/(ISSN)1440-0960","","","",""
"Australasian Journal On Ageing","1440-6381","1741-6612",1997-01-01,14,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1741-6612",,"10.1111/(ISSN)1741-6612","","","",""
"Australian and New Zealand Journal of Statistics","1369-1473","1467-842X",1997-01-01,39,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-842X",,"10.1111/(ISSN)1467-842X","","","",""
"Australian Accounting Review","1035-6908","1835-2561",1997-01-01,6,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1835-2561",,"10.1111/(ISSN)1835-2561","","","",""
"Australian and New Zealand Journal of Obstetrics and Gynaecology","0004-8666","1479-828X",1997-01-01,37,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1479-828X",,"10.1111/(ISSN)1479-828X","","","",""
"Australian and New Zealand Journal of Public Health","1326-0200","1753-6405",1997-01-01,21,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1753-6405",,"10.1111/(ISSN)1753-6405","","","",""
"Australian Dental Journal","0045-0421","1834-7819",1997-01-01,42,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1834-7819",,"10.1111/(ISSN)1834-7819","","","",""
"Australian Economic History Review","0004-8992","1467-8446",1997-01-01,37,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8446",,"10.1111/(ISSN)1467-8446","","","",""
"Australian Economic Papers","0004-900X","1467-8454",1997-01-01,36,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8454",,"10.1111/(ISSN)1467-8454","","","",""
"Australian Endodontic Journal","1329-1947","1747-4477",1997-01-01,32,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1747-4477",,"10.1111/(ISSN)1747-4477","","","",""
"Australian Journal of Agricultural and Resource Economics","1364-985X","1467-8489",1997-01-01,41,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8489",,"10.1111/(ISSN)1467-8489","","","",""
"Australian Journal of Entomology","1326-6756","1440-6055",1997-01-01,36,,,,,"http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-6055",,"10.1111/(ISSN)1440-6055","","","",""
